funding_total_usd,funding_rounds,founded_year,status_class,funding_total_category
2000000.0,1,2010,1,1
18478604.03736397,1,2012,1,1
1300000.0,1,2012,1,1
500000.0,1,2013,1,0
45000000.0,1,1996,1,1
19724.0,1,2013,1,0
18478604.03736397,1,2013,1,1
460000.0,2,2006,1,0
18478604.03736397,1,2012,1,1
18478604.03736397,1,2012,1,1
4225000.0,3,2009,1,1
27650420.0,9,2005,1,1
18478604.03736397,1,2014,1,1
12300000.0,3,2013,1,1
10000000.0,1,2001,1,1
5250000.0,1,2002,1,1
2817781.0,3,2008,2,1
48000.0,1,2011,1,0
25000000.0,3,2004,1,1
18478604.03736397,1,2013,1,1
500000.0,1,2012,1,0
32000000.0,1,1982,2,1
25000000.0,1,1936,1,1
1900000.0,2,2009,1,1
569355.0,1,2012,1,0
17000.0,1,2012,1,0
1250000.0,1,2012,2,1
60000000.0,1,2012,1,1
2700000.0,1,2015,0,1
8000000.0,3,2006,1,1
34799900.0,5,2003,1,1
4600000.0,2,2007,2,1
18478604.03736397,1,2012,1,1
18478604.03736397,1,2014,0,1
713550.0,1,2012,1,0
150000.0,2,2013,1,0
60000.0,1,2011,1,0
898270.0,1,2013,1,0
18478604.03736397,1,2009,1,1
158940.0,1,2009,0,0
5192555.0,1,2010,1,1
20000000.0,1,2012,1,1
10000000.0,1,2012,0,1
500000.0,1,2012,1,0
18478604.03736397,1,2012,0,1
15000000.0,1,2007,1,1
20000000.0,4,2013,1,1
21900000.0,2,1995,1,1
3194560.0,3,2013,1,1
18478604.03736397,1,2009,1,1
50000.0,1,2012,1,0
642077.0,2,2012,1,0
14000000.0,1,2012,1,1
13000000.0,3,2010,1,1
655580.0,1,2012,1,0
18478604.03736397,1,2003,2,1
40000.0,2,2010,1,0
3430000.0,2,2012,1,1
18478604.03736397,1,1996,1,1
20000.0,1,2012,2,0
4600000.0,2,2011,2,1
18478604.03736397,1,2013,1,1
18478604.03736397,1,2013,1,1
18478604.03736397,1,2013,1,1
18478604.03736397,2,2012,1,1
150000.0,1,2010,1,0
1250000.0,1,2011,1,1
18478604.03736397,1,2012,2,1
6700000.0,1,1990,2,1
550125.0,1,2012,0,0
12500000.0,2,2003,1,1
15000000.0,1,2002,1,1
5876977.0,3,2009,1,1
18478604.03736397,1,2013,1,1
18478604.03736397,1,2012,1,1
12800000.0,1,2012,1,1
1870000.0,1,2012,1,1
18478604.03736397,1,2012,0,1
18500000.0,1,2012,1,1
2800000.0,1,2006,0,1
18478604.03736397,1,2012,1,1
120000000.0,1,2012,2,2
3095517.74153607,2,2012,1,1
56896750.0,4,2012,2,1
200000.0,1,2010,1,0
710000.0,2,2014,1,0
18478604.03736397,1,2006,1,1
350000.0,1,2012,0,0
435728.0,1,2012,1,0
28000.0,1,2012,1,0
150000.0,2,2011,1,0
10000.0,1,2012,1,0
12000000.0,1,2012,1,1
500000.0,1,2012,1,0
5689647.0,1,2006,2,1
2000000.0,1,2015,1,1
2120000.0,2,2014,1,1
18478604.03736397,1,2013,1,1
330000.0,4,2012,1,0
18478604.03736397,1,2007,1,1
1629549.0,1,2012,1,1
4812000000.0,7,1999,2,2
18478604.03736397,1,2011,1,1
170000.0,1,2012,1,0
5000000.0,2,2014,1,1
2000000.0,2,2011,1,1
3600000.0,1,2001,2,1
776880.049720323,1,2012,1,0
4005000.0,4,2012,1,1
315349979.0,10,2001,1,2
18478604.03736397,1,2013,1,1
140000.0,3,2011,1,0
13000000.0,1,1988,1,1
22800000.0,4,2010,1,1
18478604.03736397,2,2012,1,1
180000.0,1,2012,1,0
38764000.0,4,2002,2,1
18478604.03736397,1,1992,1,1
400000.0,1,2012,1,0
100000.0,1,2012,1,0
8850000.0,3,2012,1,1
29331884.0,1,2012,1,1
18478604.03736397,1,2010,1,1
18478604.03736397,1,2010,1,1
7443779.0,1,2012,1,1
1850000.0,1,2007,1,1
15000000.0,1,1999,1,1
5500000.0,1,1885,1,1
5643780.0,1,2011,1,1
10806952.0,2,2012,0,1
11000000.0,2,2012,1,1
18478604.03736397,1,2011,1,1
22300000.0,3,2013,2,1
50000000.0,1,2012,2,1
25000.0,1,2010,1,0
14500000.0,1,1999,2,1
1557308.0,2,2013,1,1
25000.0,1,2009,1,0
284999.0,1,2007,1,0
10000000.0,1,2012,0,1
250000.0,2,2015,0,0
500000.0,1,2005,1,0
150000.0,1,2011,1,0
250000.0,1,2015,1,0
209282.449997032,1,2012,0,0
460180.0,1,2011,1,0
5550500.0,1,2005,1,1
11730685.0,1,2006,1,1
17070000.0,3,2012,1,1
70000000.0,1,2009,2,1
45000000.0,1,2012,1,1
29000000.0,2,2014,1,1
30000.0,1,2015,1,0
20000.0,1,2012,1,0
8000000.0,1,2012,1,1
1825000.0,6,2007,2,1
200000.0,1,2011,1,0
